"LOCATION","Location","PLASTICS_EOLFATETYPES","Plastic end of life fates","TIME","Time","Value","Flag Codes","Flags"
"OPA","OECD Asia","LIT","Littered","2014","2014",0.02122,,
"OPA","OECD Asia","LIT","Littered","2015","2015",0.022005,,
"OPA","OECD Asia","LIT","Littered","2016","2016",0.022361,,
"OPA","OECD Asia","LIT","Littered","2017","2017",0.022881,,
"OPA","OECD Asia","LIT","Littered","2018","2018",0.024084,,
"OPA","OECD Asia","LIT","Littered","2019","2019",0.024566,,
"RAN","Other Eurasia","MIS","Mismanaged","2000","2000",2.539366,,
"RAN","Other Eurasia","MIS","Mismanaged","2001","2001",2.691648,,
"RAN","Other Eurasia","MIS","Mismanaged","2002","2002",2.882637,,
"RAN","Other Eurasia","MIS","Mismanaged","2003","2003",3.068791,,
"RAN","Other Eurasia","MIS","Mismanaged","2004","2004",3.27865,,
"RAN","Other Eurasia","MIS","Mismanaged","2005","2005",3.465766,,
"RAN","Other Eurasia","MIS","Mismanaged","2006","2006",3.693312,,
"RAN","Other Eurasia","MIS","Mismanaged","2007","2007",3.93505,,
"RAN","Other Eurasia","MIS","Mismanaged","2008","2008",4.060371,,
"RAN","Other Eurasia","MIS","Mismanaged","2009","2009",4.262272,,
"RAN","Other Eurasia","MIS","Mismanaged","2010","2010",4.549455,,
"RAN","Other Eurasia","MIS","Mismanaged","2011","2011",4.78453,,
"RAN","Other Eurasia","MIS","Mismanaged","2012","2012",4.997677,,
"RAN","Other Eurasia","MIS","Mismanaged","2013","2013",5.227428,,
"RAN","Other Eurasia","MIS","Mismanaged","2014","2014",5.438804,,
"RAN","Other Eurasia","MIS","Mismanaged","2015","2015",5.714412,,
"RAN","Other Eurasia","MIS","Mismanaged","2016","2016",5.959975,,
"RAN","Other Eurasia","MIS","Mismanaged","2017","2017",6.223548,,
"RAN","Other Eurasia","MIS","Mismanaged","2018","2018",6.439712,,
"RAN","Other Eurasia","MIS","Mismanaged","2019","2019",6.562043,,
"LAM","Latin America","INC","Incinerated","2000","2000",0.026203,,
"LAM","Latin America","INC","Incinerated","2001","2001",0.02823,,
"LAM","Latin America","INC","Incinerated","2002","2002",0.030996,,
"LAM","Latin America","INC","Incinerated","2003","2003",0.033658,,
"LAM","Latin America","INC","Incinerated","2004","2004",0.036808,,
"LAM","Latin America","INC","Incinerated","2005","2005",0.039534,,
"LAM","Latin America","INC","Incinerated","2006","2006",0.043099,,
"LAM","Latin America","INC","Incinerated","2007","2007",0.046922,,
"LAM","Latin America","INC","Incinerated","2008","2008",0.048116,,
"LAM","Latin America","INC","Incinerated","2009","2009",0.050926,,
"LAM","Latin America","INC","Incinerated","2010","2010",0.055383,,
"LAM","Latin America","INC","Incinerated","2011","2011",0.05865,,
"LAM","Latin America","INC","Incinerated","2012","2012",0.061751,,
"LAM","Latin America","INC","Incinerated","2013","2013",0.065393,,
"LAM","Latin America","INC","Incinerated","2014","2014",0.06829,,
"LAM","Latin America","INC","Incinerated","2015","2015",0.073202,,
"LAM","Latin America","INC","Incinerated","2016","2016",0.074354,,
"LAM","Latin America","INC","Incinerated","2017","2017",0.076591,,
"LAM","Latin America","INC","Incinerated","2018","2018",0.079507,,
"LAM","Latin America","INC","Incinerated","2019","2019",0.109527,,
"O22","OECD EU ","LAN","Landfilled","2000","2000",21.966891,,
"O22","OECD EU ","LAN","Landfilled","2001","2001",22.097539,,
"O22","OECD EU ","LAN","Landfilled","2002","2002",22.474946,,
"O22","OECD EU ","LAN","Landfilled","2003","2003",22.68213,,
"O22","OECD EU ","LAN","Landfilled","2004","2004",22.955212,,
"O22","OECD EU ","LAN","Landfilled","2005","2005",22.926138,,
"O22","OECD EU ","LAN","Landfilled","2006","2006",23.069778,,
"O22","OECD EU ","LAN","Landfilled","2007","2007",23.171148,,
"O22","OECD EU ","LAN","Landfilled","2008","2008",22.414008,,
"O22","OECD EU ","LAN","Landfilled","2009","2009",22.06419,,
"O22","OECD EU ","LAN","Landfilled","2010","2010",22.146846,,
"O22","OECD EU ","LAN","Landfilled","2011","2011",21.832117,,
"O22","OECD EU ","LAN","Landfilled","2012","2012",21.374965,,
"O22","OECD EU ","LAN","Landfilled","2013","2013",20.988884,,
"O22","OECD EU ","LAN","Landfilled","2014","2014",20.298755,,
"O22","OECD EU ","LAN","Landfilled","2015","2015",19.822582,,
"O22","OECD EU ","LAN","Landfilled","2016","2016",19.305964,,
"O22","OECD EU ","LAN","Landfilled","2017","2017",18.915927,,
"O22","OECD EU ","LAN","Landfilled","2018","2018",18.480282,,
"O22","OECD EU ","LAN","Landfilled","2019","2019",18.813869,,
"OAF","Other Africa","REC","Recycled","2000","2000",0.15826,,
"OAF","Other Africa","REC","Recycled","2001","2001",0.178806,,
"OAF","Other Africa","REC","Recycled","2002","2002",0.204712,,
"OAF","Other Africa","REC","Recycled","2003","2003",0.231719,,
"OAF","Other Africa","REC","Recycled","2004","2004",0.263191,,
"OAF","Other Africa","REC","Recycled","2005","2005",0.293509,,
"OAF","Other Africa","REC","Recycled","2006","2006",0.330648,,
"OAF","Other Africa","REC","Recycled","2007","2007",0.371522,,
"OAF","Other Africa","REC","Recycled","2008","2008",0.396715,,
"OAF","Other Africa","REC","Recycled","2009","2009",0.434174,,
"OAF","Other Africa","REC","Recycled","2010","2010",0.486237,,
"OAF","Other Africa","REC","Recycled","2011","2011",0.532116,,
"OAF","Other Africa","REC","Recycled","2012","2012",0.576706,,
"OAF","Other Africa","REC","Recycled","2013","2013",0.625352,,
"OAF","Other Africa","REC","Recycled","2014","2014",0.671536,,
"OAF","Other Africa","REC","Recycled","2015","2015",0.733364,,
"OAF","Other Africa","REC","Recycled","2016","2016",0.776651,,
"OAF","Other Africa","REC","Recycled","2017","2017",0.823244,,
"OAF","Other Africa","REC","Recycled","2018","2018",0.876343,,
"OAF","Other Africa","REC","Recycled","2019","2019",0.929337,,
"OE6","OECD Non-EU","MIS","Mismanaged","2000","2000",1.256187,,
"OE6","OECD Non-EU","MIS","Mismanaged","2001","2001",1.274711,,
"OE6","OECD Non-EU","MIS","Mismanaged","2002","2002",1.308761,,
"OE6","OECD Non-EU","MIS","Mismanaged","2003","2003",1.333602,,
"OE6","OECD Non-EU","MIS","Mismanaged","2004","2004",1.363537,,
"OE6","OECD Non-EU","MIS","Mismanaged","2005","2005",1.375757,,
"OE6","OECD Non-EU","MIS","Mismanaged","2006","2006",1.399711,,
"OE6","OECD Non-EU","MIS","Mismanaged","2007","2007",1.422149,,
"OE6","OECD Non-EU","MIS","Mismanaged","2008","2008",1.390156,,
"OE6","OECD Non-EU","MIS","Mismanaged","2009","2009",1.384839,,
"OE6","OECD Non-EU","MIS","Mismanaged","2010","2010",1.408236,,
"OE6","OECD Non-EU","MIS","Mismanaged","2011","2011",1.405175,,
"OE6","OECD Non-EU","MIS","Mismanaged","2012","2012",1.398682,,
"OE6","OECD Non-EU","MIS","Mismanaged","2013","2013",1.396987,,
"OE6","OECD Non-EU","MIS","Mismanaged","2014","2014",1.3709,,
"OE6","OECD Non-EU","MIS","Mismanaged","2015","2015",1.356361,,
"OE6","OECD Non-EU","MIS","Mismanaged","2016","2016",1.341227,,
"OE6","OECD Non-EU","MIS","Mismanaged","2017","2017",1.336966,,
"OE6","OECD Non-EU","MIS","Mismanaged","2018","2018",1.32153,,
"OE6","OECD Non-EU","MIS","Mismanaged","2019","2019",1.321256,,
"EU5","Other EU","TOTAL","Total","2000","2000",1.20412,,
"EU5","Other EU","TOTAL","Total","2001","2001",1.254435,,
"EU5","Other EU","TOTAL","Total","2002","2002",1.31925,,
"EU5","Other EU","TOTAL","Total","2003","2003",1.379845,,
"EU5","Other EU","TOTAL","Total","2004","2004",1.447859,,
"EU5","Other EU","TOTAL","Total","2005","2005",1.504465,,
"EU5","Other EU","TOTAL","Total","2006","2006",1.57483,,
"EU5","Other EU","TOTAL","Total","2007","2007",1.648271,,
"EU5","Other EU","TOTAL","Total","2008","2008",1.675276,,
"EU5","Other EU","TOTAL","Total","2009","2009",1.729513,,
"EU5","Other EU","TOTAL","Total","2010","2010",1.816816,,
"EU5","Other EU","TOTAL","Total","2011","2011",1.880252,,
"EU5","Other EU","TOTAL","Total","2012","2012",1.941728,,
"EU5","Other EU","TOTAL","Total","2013","2013",2.006543,,
"EU5","Other EU","TOTAL","Total","2014","2014",2.056549,,
"EU5","Other EU","TOTAL","Total","2015","2015",2.129813,,
"EU5","Other EU","TOTAL","Total","2016","2016",2.19817,,
"EU5","Other EU","TOTAL","Total","2017","2017",2.286959,,
"EU5","Other EU","TOTAL","Total","2018","2018",2.355159,,
"EU5","Other EU","TOTAL","Total","2019","2019",2.432935,,
"ODA","Other non-OECD Asia","LIT","Littered","2000","2000",0.029431,,
"ODA","Other non-OECD Asia","LIT","Littered","2001","2001",0.032098,,
"ODA","Other non-OECD Asia","LIT","Littered","2002","2002",0.035562,,
"ODA","Other non-OECD Asia","LIT","Littered","2003","2003",0.038974,,
"ODA","Other non-OECD Asia","LIT","Littered","2004","2004",0.042935,,
"ODA","Other non-OECD Asia","LIT","Littered","2005","2005",0.046458,,
"ODA","Other non-OECD Asia","LIT","Littered","2006","2006",0.050884,,
"ODA","Other non-OECD Asia","LIT","Littered","2007","2007",0.055625,,
"ODA","Other non-OECD Asia","LIT","Littered","2008","2008",0.057631,,
"ODA","Other non-OECD Asia","LIT","Littered","2009","2009",0.061364,,
"ODA","Other non-OECD Asia","LIT","Littered","2010","2010",0.067587,,
"ODA","Other non-OECD Asia","LIT","Littered","2011","2011",0.072609,,
"ODA","Other non-OECD Asia","LIT","Littered","2012","2012",0.077382,,
"ODA","Other non-OECD Asia","LIT","Littered","2013","2013",0.083079,,
"ODA","Other non-OECD Asia","LIT","Littered","2014","2014",0.088472,,
"ODA","Other non-OECD Asia","LIT","Littered","2015","2015",0.095092,,
"ODA","Other non-OECD Asia","LIT","Littered","2016","2016",0.100485,,
"ODA","Other non-OECD Asia","LIT","Littered","2017","2017",0.107254,,
"ODA","Other non-OECD Asia","LIT","Littered","2018","2018",0.115511,,
"ODA","Other non-OECD Asia","LIT","Littered","2019","2019",0.119188,,
"OPA","OECD Asia","INC","Incinerated","2000","2000",1.649779,,
"OPA","OECD Asia","INC","Incinerated","2001","2001",1.854014,,
"OPA","OECD Asia","INC","Incinerated","2002","2002",2.102326,,
"OPA","OECD Asia","INC","Incinerated","2003","2003",2.358219,,
"OPA","OECD Asia","INC","Incinerated","2004","2004",2.648324,,
"OPA","OECD Asia","INC","Incinerated","2005","2005",2.927418,,
"OPA","OECD Asia","INC","Incinerated","2006","2006",3.258924,,
"OPA","OECD Asia","INC","Incinerated","2007","2007",3.617327,,
"OPA","OECD Asia","INC","Incinerated","2008","2008",3.850682,,
"OPA","OECD Asia","INC","Incinerated","2009","2009",4.178079,,
"OPA","OECD Asia","INC","Incinerated","2010","2010",4.625774,,
"OPA","OECD Asia","INC","Incinerated","2011","2011",5.059242,,
"OPA","OECD Asia","INC","Incinerated","2012","2012",5.450052,,
"OPA","OECD Asia","INC","Incinerated","2013","2013",5.908859,,
"OPA","OECD Asia","INC","Incinerated","2014","2014",6.333149,,
"OPA","OECD Asia","INC","Incinerated","2015","2015",6.850512,,
"OPA","OECD Asia","INC","Incinerated","2016","2016",7.293018,,
"OPA","OECD Asia","INC","Incinerated","2017","2017",7.809137,,
"OPA","OECD Asia","INC","Incinerated","2018","2018",8.582843,,
"OPA","OECD Asia","INC","Incinerated","2019","2019",8.776591,,
"LAM","Latin America","LIT","Littered","2000","2000",0.024422,,
"LAM","Latin America","LIT","Littered","2001","2001",0.026192,,
"LAM","Latin America","LIT","Littered","2002","2002",0.028637,,
"LAM","Latin America","LIT","Littered","2003","2003",0.030961,,
"LAM","Latin America","LIT","Littered","2004","2004",0.033717,,
"LAM","Latin America","LIT","Littered","2005","2005",0.036053,,
"LAM","Latin America","LIT","Littered","2006","2006",0.039142,,
"LAM","Latin America","LIT","Littered","2007","2007",0.042439,,
"LAM","Latin America","LIT","Littered","2008","2008",0.043279,,
"LAM","Latin America","LIT","Littered","2009","2009",0.045584,,
"LAM","Latin America","LIT","Littered","2010","2010",0.049369,,
"LAM","Latin America","LIT","Littered","2011","2011",0.052031,,
"LAM","Latin America","LIT","Littered","2012","2012",0.054526,,
"LAM","Latin America","LIT","Littered","2013","2013",0.057503,,
"LAM","Latin America","LIT","Littered","2014","2014",0.059762,,
"LAM","Latin America","LIT","Littered","2015","2015",0.063798,,
"LAM","Latin America","LIT","Littered","2016","2016",0.064415,,
"LAM","Latin America","LIT","Littered","2017","2017",0.065998,,
"LAM","Latin America","LIT","Littered","2018","2018",0.068167,,
"LAM","Latin America","LIT","Littered","2019","2019",0.070147,,
"OAF","Other Africa","MIS","Mismanaged","2000","2000",3.612815,,
"OAF","Other Africa","MIS","Mismanaged","2001","2001",3.87782,,
"OAF","Other Africa","MIS","Mismanaged","2002","2002",4.225762,,
"OAF","Other Africa","MIS","Mismanaged","2003","2003",4.561808,,
"OAF","Other Africa","MIS","Mismanaged","2004","2004",4.950097,,
"OAF","Other Africa","MIS","Mismanaged","2005","2005",5.284911,,
"OAF","Other Africa","MIS","Mismanaged","2006","2006",5.708091,,
"OAF","Other Africa","MIS","Mismanaged","2007","2007",6.157719,,
"OAF","Other Africa","MIS","Mismanaged","2008","2008",6.325124,,
"OAF","Other Africa","MIS","Mismanaged","2009","2009",6.664882,,
"OAF","Other Africa","MIS","Mismanaged","2010","2010",7.19039,,
"OAF","Other Africa","MIS","Mismanaged","2011","2011",7.589907,,
"OAF","Other Africa","MIS","Mismanaged","2012","2012",7.947111,,
"OAF","Other Africa","MIS","Mismanaged","2013","2013",8.336551,,
"OAF","Other Africa","MIS","Mismanaged","2014","2014",8.664041,,
"OAF","Other Africa","MIS","Mismanaged","2015","2015",9.147928,,
"OAF","Other Africa","MIS","Mismanaged","2016","2016",9.381436,,
"OAF","Other Africa","MIS","Mismanaged","2017","2017",9.643507,,
"OAF","Other Africa","MIS","Mismanaged","2018","2018",9.966291,,
"OAF","Other Africa","MIS","Mismanaged","2019","2019",10.251547,,
"OE6","OECD Non-EU","REC","Recycled","2000","2000",0.229312,,
"OE6","OECD Non-EU","REC","Recycled","2001","2001",0.260817,,
"OE6","OECD Non-EU","REC","Recycled","2002","2002",0.298345,,
"OE6","OECD Non-EU","REC","Recycled","2003","2003",0.336905,,
"OE6","OECD Non-EU","REC","Recycled","2004","2004",0.380211,,
"OE6","OECD Non-EU","REC","Recycled","2005","2005",0.421297,,
"OE6","OECD Non-EU","REC","Recycled","2006","2006",0.469218,,
"OE6","OECD Non-EU","REC","Recycled","2007","2007",0.520385,,
"OE6","OECD Non-EU","REC","Recycled","2008","2008",0.553376,,
"OE6","OECD Non-EU","REC","Recycled","2009","2009",0.598773,,
"OE6","OECD Non-EU","REC","Recycled","2010","2010",0.661411,,
"OE6","OECD Non-EU","REC","Recycled","2011","2011",0.716808,,
"OE6","OECD Non-EU","REC","Recycled","2012","2012",0.772766,,
"OE6","OECD Non-EU","REC","Recycled","2013","2013",0.83429,,
"OE6","OECD Non-EU","REC","Recycled","2014","2014",0.884879,,
"OE6","OECD Non-EU","REC","Recycled","2015","2015",0.952709,,
"OE6","OECD Non-EU","REC","Recycled","2016","2016",1.020662,,
"OE6","OECD Non-EU","REC","Recycled","2017","2017",1.101144,,
"OE6","OECD Non-EU","REC","Recycled","2018","2018",1.177598,,
"OE6","OECD Non-EU","REC","Recycled","2019","2019",1.246805,,
"OAM","Other OECD America","REC","Recycled","2000","2000",0.313506,,
"OAM","Other OECD America","REC","Recycled","2001","2001",0.341955,,
"OAM","Other OECD America","REC","Recycled","2002","2002",0.377361,,
"OAM","Other OECD America","REC","Recycled","2003","2003",0.412568,,
"OAM","Other OECD America","REC","Recycled","2004","2004",0.452366,,
"OAM","Other OECD America","REC","Recycled","2005","2005",0.48842,,
"OAM","Other OECD America","REC","Recycled","2006","2006",0.531931,,
"OAM","Other OECD America","REC","Recycled","2007","2007",0.578238,,
"OAM","Other OECD America","REC","Recycled","2008","2008",0.602041,,
"OAM","Other OECD America","REC","Recycled","2009","2009",0.640115,,
"OAM","Other OECD America","REC","Recycled","2010","2010",0.696671,,
"OAM","Other OECD America","REC","Recycled","2011","2011",0.742939,,
"OAM","Other OECD America","REC","Recycled","2012","2012",0.783685,,
"OAM","Other OECD America","REC","Recycled","2013","2013",0.831809,,
"OAM","Other OECD America","REC","Recycled","2014","2014",0.863291,,
"OAM","Other OECD America","REC","Recycled","2015","2015",0.955447,,
"OAM","Other OECD America","REC","Recycled","2016","2016",1.005013,,
"OAM","Other OECD America","REC","Recycled","2017","2017",1.052668,,
"OAM","Other OECD America","REC","Recycled","2018","2018",1.126405,,
"OAM","Other OECD America","REC","Recycled","2019","2019",1.183822,,
"ODA","Other non-OECD Asia","MIS","Mismanaged","2000","2000",3.197663,,
"ODA","Other non-OECD Asia","MIS","Mismanaged","2001","2001",3.481906,,
"ODA","Other non-OECD Asia","MIS","Mismanaged","2002","2002",3.830459,,
"ODA","Other non-OECD Asia","MIS","Mismanaged","2003","2003",4.175391,,
"ODA","Other non-OECD Asia","MIS","Mismanaged","2004","2004",4.562681,,
"ODA","Other non-OECD Asia","MIS","Mismanaged","2005","2005",4.912998,,
"ODA","Other non-OECD Asia","MIS","Mismanaged","2006","2006",5.331479,,
"ODA","Other non-OECD Asia","MIS","Mismanaged","2007","2007",5.774192,,
"ODA","Other non-OECD Asia","MIS","Mismanaged","2008","2008",6.016917,,
"ODA","Other non-OECD Asia","MIS","Mismanaged","2009","2009",6.38842,,
"ODA","Other non-OECD Asia","MIS","Mismanaged","2010","2010",6.938955,,
"ODA","Other non-OECD Asia","MIS","Mismanaged","2011","2011",7.387566,,
"ODA","Other non-OECD Asia","MIS","Mismanaged","2012","2012",7.800418,,
"ODA","Other non-OECD Asia","MIS","Mismanaged","2013","2013",8.261432,,
"ODA","Other non-OECD Asia","MIS","Mismanaged","2014","2014",8.723181,,
"ODA","Other non-OECD Asia","MIS","Mismanaged","2015","2015",9.286759,,
"ODA","Other non-OECD Asia","MIS","Mismanaged","2016","2016",9.764632,,
"ODA","Other non-OECD Asia","MIS","Mismanaged","2017","2017",10.353667,,
"ODA","Other non-OECD Asia","MIS","Mismanaged","2018","2018",11.083074,,
"ODA","Other non-OECD Asia","MIS","Mismanaged","2019","2019",11.334832,,
"EU5","Other EU","LIT","Littered","2000","2000",0.003678,,
"EU5","Other EU","LIT","Littered","2001","2001",0.003802,,
"EU5","Other EU","LIT","Littered","2002","2002",0.003995,,
"EU5","Other EU","LIT","Littered","2003","2003",0.004162,,
"EU5","Other EU","LIT","Littered","2004","2004",0.004361,,
"EU5","Other EU","LIT","Littered","2005","2005",0.004501,,
"EU5","Other EU","LIT","Littered","2006","2006",0.004704,,
"EU5","Other EU","LIT","Littered","2007","2007",0.004914,,
"EU5","Other EU","LIT","Littered","2008","2008",0.004883,,
"EU5","Other EU","LIT","Littered","2009","2009",0.004984,,
"EU5","Other EU","LIT","Littered","2010","2010",0.005245,,
"EU5","Other EU","LIT","Littered","2011","2011",0.005388,,
"EU5","Other EU","LIT","Littered","2012","2012",0.005521,,
"EU5","Other EU","LIT","Littered","2013","2013",0.005696,,
"EU5","Other EU","LIT","Littered","2014","2014",0.005799,,
"EU5","Other EU","LIT","Littered","2015","2015",0.005979,,
"EU5","Other EU","LIT","Littered","2016","2016",0.006134,,
"EU5","Other EU","LIT","Littered","2017","2017",0.006362,,
"EU5","Other EU","LIT","Littered","2018","2018",0.00655,,
"EU5","Other EU","LIT","Littered","2019","2019",0.006771,,
"O22","OECD EU ","INC","Incinerated","2000","2000",5.170488,,
"O22","OECD EU ","INC","Incinerated","2001","2001",5.811097,,
"O22","OECD EU ","INC","Incinerated","2002","2002",6.567894,,
"O22","OECD EU ","INC","Incinerated","2003","2003",7.331044,,
"O22","OECD EU ","INC","Incinerated","2004","2004",8.174842,,
"O22","OECD EU ","INC","Incinerated","2005","2005",8.96587,,
"O22","OECD EU ","INC","Incinerated","2006","2006",9.882863,,
"O22","OECD EU ","INC","Incinerated","2007","2007",10.849545,,
"O22","OECD EU ","INC","Incinerated","2008","2008",11.444401,,
"O22","OECD EU ","INC","Incinerated","2009","2009",12.271519,,
"O22","OECD EU ","INC","Incinerated","2010","2010",13.407657,,
"O22","OECD EU ","INC","Incinerated","2011","2011",14.373093,,
"O22","OECD EU ","INC","Incinerated","2012","2012",15.296604,,
"O22","OECD EU ","INC","Incinerated","2013","2013",16.326902,,
"O22","OECD EU ","INC","Incinerated","2014","2014",17.163419,,
"O22","OECD EU ","INC","Incinerated","2015","2015",18.226653,,
"O22","OECD EU ","INC","Incinerated","2016","2016",19.319363,,
"O22","OECD EU ","INC","Incinerated","2017","2017",20.62482,,
"O22","OECD EU ","INC","Incinerated","2018","2018",21.986188,,
"O22","OECD EU ","INC","Incinerated","2019","2019",22.350366,,
"OCE","OECD Oceania","TOTAL","Total","2000","2000",0.433393,,
"OCE","OECD Oceania","TOTAL","Total","2001","2001",0.475684,,
"OCE","OECD Oceania","TOTAL","Total","2002","2002",0.525522,,
"OCE","OECD Oceania","TOTAL","Total","2003","2003",0.576878,,
"OCE","OECD Oceania","TOTAL","Total","2004","2004",0.634053,,
"OCE","OECD Oceania","TOTAL","Total","2005","2005",0.68931,,
"OCE","OECD Oceania","TOTAL","Total","2006","2006",0.753195,,
"OCE","OECD Oceania","TOTAL","Total","2007","2007",0.822158,,
"OCE","OECD Oceania","TOTAL","Total","2008","2008",0.874476,,
"OCE","OECD Oceania","TOTAL","Total","2009","2009",0.941994,,
"OCE","OECD Oceania","TOTAL","Total","2010","2010",1.02791,,
"OCE","OECD Oceania","TOTAL","Total","2011","2011",1.116103,,
"OCE","OECD Oceania","TOTAL","Total","2012","2012",1.180188,,
"OCE","OECD Oceania","TOTAL","Total","2013","2013",1.289649,,
"OCE","OECD Oceania","TOTAL","Total","2014","2014",1.361787,,
"OCE","OECD Oceania","TOTAL","Total","2015","2015",1.460102,,
"OCE","OECD Oceania","TOTAL","Total","2016","2016",1.563965,,
"OCE","OECD Oceania","TOTAL","Total","2017","2017",1.693263,,
"OCE","OECD Oceania","TOTAL","Total","2018","2018",1.790679,,
"OCE","OECD Oceania","TOTAL","Total","2019","2019",1.892815,,
"LAM","Latin America","MIS","Mismanaged","2000","2000",3.300993,,
"LAM","Latin America","MIS","Mismanaged","2001","2001",3.522364,,
"LAM","Latin America","MIS","Mismanaged","2002","2002",3.812602,,
"LAM","Latin America","MIS","Mismanaged","2003","2003",4.088926,,
"LAM","Latin America","MIS","Mismanaged","2004","2004",4.405661,,
"LAM","Latin America","MIS","Mismanaged","2005","2005",4.673355,,
"LAM","Latin America","MIS","Mismanaged","2006","2006",5.011371,,
"LAM","Latin America","MIS","Mismanaged","2007","2007",5.366695,,
"LAM","Latin America","MIS","Mismanaged","2008","2008",5.48438,,
"LAM","Latin America","MIS","Mismanaged","2009","2009",5.741409,,
"LAM","Latin America","MIS","Mismanaged","2010","2010",6.13544,,
"LAM","Latin America","MIS","Mismanaged","2011","2011",6.416618,,
"LAM","Latin America","MIS","Mismanaged","2012","2012",6.65867,,
"LAM","Latin America","MIS","Mismanaged","2013","2013",6.927404,,
"LAM","Latin America","MIS","Mismanaged","2014","2014",7.134898,,
"LAM","Latin America","MIS","Mismanaged","2015","2015",7.503428,,
"LAM","Latin America","MIS","Mismanaged","2016","2016",7.568952,,
"LAM","Latin America","MIS","Mismanaged","2017","2017",7.712183,,
"LAM","Latin America","MIS","Mismanaged","2018","2018",7.895938,,
"LAM","Latin America","MIS","Mismanaged","2019","2019",8.089722,,
"O22","OECD EU ","LIT","Littered","2000","2000",0.067518,,
"O22","OECD EU ","LIT","Littered","2001","2001",0.0688,,
"O22","OECD EU ","LIT","Littered","2002","2002",0.071379,,
"O22","OECD EU ","LIT","Littered","2003","2003",0.073332,,
"O22","OECD EU ","LIT","Littered","2004","2004",0.075829,,
"O22","OECD EU ","LIT","Littered","2005","2005",0.077115,,
"O22","OECD EU ","LIT","Littered","2006","2006",0.079516,,
"O22","OECD EU ","LIT","Littered","2007","2007",0.081909,,
"O22","OECD EU ","LIT","Littered","2008","2008",0.079752,,
"O22","OECD EU ","LIT","Littered","2009","2009",0.079945,,
"O22","OECD EU ","LIT","Littered","2010","2010",0.082857,,
"O22","OECD EU ","LIT","Littered","2011","2011",0.083801,,
"O22","OECD EU ","LIT","Littered","2012","2012",0.084369,,
"O22","OECD EU ","LIT","Littered","2013","2013",0.085663,,
"O22","OECD EU ","LIT","Littered","2014","2014",0.085334,,
"O22","OECD EU ","LIT","Littered","2015","2015",0.08611,,
"O22","OECD EU ","LIT","Littered","2016","2016",0.08692,,
"O22","OECD EU ","LIT","Littered","2017","2017",0.08877,,
"O22","OECD EU ","LIT","Littered","2018","2018",0.090667,,
"O22","OECD EU ","LIT","Littered","2019","2019",0.092473,,
"MEN","Middle East & North Africa","INC","Incinerated","2000","2000",0.027877,,
"MEN","Middle East & North Africa","INC","Incinerated","2001","2001",0.029391,,
"MEN","Middle East & North Africa","INC","Incinerated","2002","2002",0.031522,,
"MEN","Middle East & North Africa","INC","Incinerated","2003","2003",0.03351,,
"MEN","Middle East & North Africa","INC","Incinerated","2004","2004",0.03585,,
"MEN","Middle East & North Africa","INC","Incinerated","2005","2005",0.037764,,
"MEN","Middle East & North Africa","INC","Incinerated","2006","2006",0.040308,,
"MEN","Middle East & North Africa","INC","Incinerated","2007","2007",0.043,,
"MEN","Middle East & North Africa","INC","Incinerated","2008","2008",0.043586,,
"MEN","Middle East & North Africa","INC","Incinerated","2009","2009",0.045416,,
"MEN","Middle East & North Africa","INC","Incinerated","2010","2010",0.04884,,
"MEN","Middle East & North Africa","INC","Incinerated","2011","2011",0.051322,,
"MEN","Middle East & North Africa","INC","Incinerated","2012","2012",0.053755,,
"MEN","Middle East & North Africa","INC","Incinerated","2013","2013",0.056551,,
"MEN","Middle East & North Africa","INC","Incinerated","2014","2014",0.059016,,
"MEN","Middle East & North Africa","INC","Incinerated","2015","2015",0.061726,,
"MEN","Middle East & North Africa","INC","Incinerated","2016","2016",0.066562,,
"MEN","Middle East & North Africa","INC","Incinerated","2017","2017",0.06997,,
"MEN","Middle East & North Africa","INC","Incinerated","2018","2018",0.072601,,
"MEN","Middle East & North Africa","INC","Incinerated","2019","2019",0.102777,,
"OE6","OECD Non-EU","TOTAL","Total","2000","2000",8.483707,,
"OE6","OECD Non-EU","TOTAL","Total","2001","2001",8.810486,,
"OE6","OECD Non-EU","TOTAL","Total","2002","2002",9.265545,,
"OE6","OECD Non-EU","TOTAL","Total","2003","2003",9.67694,,
"OE6","OECD Non-EU","TOTAL","Total","2004","2004",10.149718,,
"OE6","OECD Non-EU","TOTAL","Total","2005","2005",10.512578,,
"OE6","OECD Non-EU","TOTAL","Total","2006","2006",10.990626,,
"OE6","OECD Non-EU","TOTAL","Total","2007","2007",11.484906,,
"OE6","OECD Non-EU","TOTAL","Total","2008","2008",11.55098,,
"OE6","OECD Non-EU","TOTAL","Total","2009","2009",11.854575,,
"OE6","OECD Non-EU","TOTAL","Total","2010","2010",12.436968,,
"OE6","OECD Non-EU","TOTAL","Total","2011","2011",12.816305,,
"OE6","OECD Non-EU","TOTAL","Total","2012","2012",13.193287,,
"OE6","OECD Non-EU","TOTAL","Total","2013","2013",13.647551,,
"OE6","OECD Non-EU","TOTAL","Total","2014","2014",13.887411,,
"OE6","OECD Non-EU","TOTAL","Total","2015","2015",14.273745,,
"OE6","OECD Non-EU","TOTAL","Total","2016","2016",14.682829,,
"OE6","OECD Non-EU","TOTAL","Total","2017","2017",15.254011,,
"OE6","OECD Non-EU","TOTAL","Total","2018","2018",15.746926,,
